Time,Subject,Midline
0.0625,CTEEG_Control_53,1.35e-6
0.0625,CTEEG_Control_54,1.16e-6
0.0625,CTEEG_Control_55,1.62e-6
0.0625,CTEEG_Control_56,1.24e-6
0.0625,CTEEG_Control_59,1.96e-6
0.0625,CTEEG_Control_61,1.9e-6
0.0625,CTEEG_Control_62,5.51e-7
0.0625,CTEEG_Control_65,1.24e-6
0.070312,CTEEG_Control_30,1.54e-6
0.070312,CTEEG_Control_31,2.13e-6
0.070312,CTEEG_Control_32,2.75e-6
0.070312,CTEEG_Control_33,1.69e-6
0.070312,CTEEG_Control_34,2.3e-6
0.070312,CTEEG_Control_35,7.22e-7
0.070312,CTEEG_Control_36,3.23e-6
0.070312,CTEEG_Control_37,1.74e-6
0.070312,CTEEG_Control_38,1.49e-6
0.070312,CTEEG_Control_41,2.03e-6
0.070312,CTEEG_Control_42,1.28e-6
0.070312,CTEEG_Control_43,1.45e-6
0.070312,CTEEG_Control_46,2.86e-6
0.070312,CTEEG_Control_47,9.04e-7
0.070312,CTEEG_Control_48,1.28e-6
0.070312,CTEEG_Control_51,9.43e-7
0.070312,CTEEG_Control_52,6.43e-6
0.070312,CTEEG_Control_53,1.35e-6
0.070312,CTEEG_Control_54,1.14e-6
0.070312,CTEEG_Control_55,1.6e-6
0.070312,CTEEG_Control_56,1.24e-6
0.070312,CTEEG_Control_59,1.94e-6
0.070312,CTEEG_Control_61,1.94e-6
0.070312,CTEEG_Control_62,5.51e-7
0.070312,CTEEG_Control_65,1.24e-6
0.078125,CTEEG_Control_30,1.51e-6
0.078125,CTEEG_Control_31,2.11e-6
0.078125,CTEEG_Control_32,2.72e-6
0.078125,CTEEG_Control_33,1.68e-6
0.078125,CTEEG_Control_34,2.28e-6
0.078125,CTEEG_Control_35,7.21e-7
0.078125,CTEEG_Control_36,3.2e-6
0.078125,CTEEG_Control_37,1.74e-6
0.078125,CTEEG_Control_38,1.49e-6
0.078125,CTEEG_Control_41,1.99e-6
0.078125,CTEEG_Control_42,1.29e-6
0.078125,CTEEG_Control_43,1.44e-6
0.078125,CTEEG_Control_46,2.85e-6
0.078125,CTEEG_Control_47,8.93e-7
0.078125,CTEEG_Control_48,1.27e-6
0.078125,CTEEG_Control_51,9.27e-7
0.078125,CTEEG_Control_52,6.45e-6
0.078125,CTEEG_Control_53,1.35e-6
0.078125,CTEEG_Control_54,1.12e-6
0.078125,CTEEG_Control_55,1.58e-6
0.078125,CTEEG_Control_56,1.23e-6
0.078125,CTEEG_Control_59,1.93e-6
0.078125,CTEEG_Control_61,1.98e-6
0.078125,CTEEG_Control_62,5.52e-7
0.078125,CTEEG_Control_65,1.24e-6
0.085938,CTEEG_Control_30,1.48e-6
0.085938,CTEEG_Control_31,2.09e-6
0.085938,CTEEG_Control_32,2.68e-6
0.085938,CTEEG_Control_33,1.67e-6
0.085938,CTEEG_Control_34,2.26e-6
0.085938,CTEEG_Control_35,7.21e-7
0.085938,CTEEG_Control_36,3.17e-6
0.085938,CTEEG_Control_37,1.73e-6
0.085938,CTEEG_Control_38,1.49e-6
0.085938,CTEEG_Control_41,1.96e-6
0.085938,CTEEG_Control_42,1.3e-6
0.085938,CTEEG_Control_43,1.43e-6
0.085938,CTEEG_Control_46,2.84e-6
0.085938,CTEEG_Control_47,8.84e-7
0.085938,CTEEG_Control_48,1.27e-6
0.085938,CTEEG_Control_51,9.11e-7
0.085938,CTEEG_Control_52,6.47e-6
0.085938,CTEEG_Control_53,1.35e-6
0.085938,CTEEG_Control_54,1.11e-6
0.085938,CTEEG_Control_55,1.55e-6
0.085938,CTEEG_Control_56,1.23e-6
0.085938,CTEEG_Control_59,1.91e-6
0.085938,CTEEG_Control_61,2.03e-6
0.085938,CTEEG_Control_62,5.53e-7
0.085938,CTEEG_Control_65,1.25e-6
0.09375,CTEEG_Control_30,1.46e-6
0.09375,CTEEG_Control_31,2.07e-6
0.09375,CTEEG_Control_32,2.64e-6
0.09375,CTEEG_Control_33,1.66e-6
0.09375,CTEEG_Control_34,2.24e-6
0.09375,CTEEG_Control_35,7.21e-7
0.09375,CTEEG_Control_36,3.14e-6
0.09375,CTEEG_Control_37,1.73e-6
0.09375,CTEEG_Control_38,1.49e-6
0.09375,CTEEG_Control_41,1.93e-6
0.09375,CTEEG_Control_42,1.31e-6
0.09375,CTEEG_Control_43,1.41e-6
0.09375,CTEEG_Control_46,2.82e-6
0.09375,CTEEG_Control_47,8.75e-7
0.09375,CTEEG_Control_48,1.27e-6
0.09375,CTEEG_Control_51,8.97e-7
0.09375,CTEEG_Control_52,6.49e-6
0.09375,CTEEG_Control_53,1.35e-6
0.09375,CTEEG_Control_54,1.09e-6
0.09375,CTEEG_Control_55,1.52e-6
0.09375,CTEEG_Control_56,1.23e-6
0.09375,CTEEG_Control_59,1.89e-6
0.09375,CTEEG_Control_61,2.08e-6
0.09375,CTEEG_Control_62,5.56e-7
0.09375,CTEEG_Control_65,1.25e-6
0.10156,CTEEG_Control_30,1.43e-6
0.10156,CTEEG_Control_31,2.05e-6
0.10156,CTEEG_Control_32,2.61e-6
0.10156,CTEEG_Control_33,1.65e-6
0.10156,CTEEG_Control_34,2.21e-6
0.10156,CTEEG_Control_35,7.22e-7
0.10156,CTEEG_Control_36,3.11e-6
0.10156,CTEEG_Control_37,1.72e-6
0.10156,CTEEG_Control_38,1.49e-6
0.10156,CTEEG_Control_41,1.9e-6
