"","Subject","MM_Intercept","MM_Hess","features_class","average_peak_magnitude","average_peak_curvature","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"35","CTEEG013",-4.52364735820833e-08,-1.04103214209498e-07,"experiment",5.2243877026854e-07,-3.43320148383708e-10,0.613,0.376,0.064,0.065,0.373310810810811,0.626689189189189,0.658,0.375,0.543,0.036,0.064,0.022,0.228040540540541,0.625,0.146959459459459,0.541,0.318,0.427,0.658,0.024,0.042,0.022,0.036,0.152027027027027,0.298986486486487,0.320945945945946,0.228040540540541,0.574,0.376,0.531,0.641,0.708,0.019,0.065,0.014,0.008,0.022,0.0743243243243243,0.626689189189189,0.0878378378378378,0.14527027027027,0.0658783783783784
"36","CTEEG015",3.2438383106351e-08,7.46508218013259e-08,"experiment",7.81140699840988e-07,-6.92638895664234e-10,0.911,0.475,0.17,0.105,0.379975874547648,0.620024125452352,0.383,0.57,0.936,0.062,0.059,0.158,0.29794933655006,0.358262967430639,0.3437876960193,0.315,0.572,0.428,0.936,0.035,0.058,0.029,0.158,0.117008443908323,0.352231604342581,0.188178528347407,0.342581423401689,0.53,0.381,0.834,0.648,1.102,0.029,0.061,0.058,0.039,0.084,0.230398069963812,0.291917973462002,0.176115802171291,0.158021712907117,0.143546441495778
"37","CTEEG017",-4.16767758558359e-08,-9.59112410216797e-08,"experiment",5.65330492168585e-07,-4.21915218466576e-10,0.594,0.43,0.072,0.035,0.51238591916558,0.48761408083442,0.465,0.597,0.406,0.018,0.07,0.023,0.220338983050847,0.496740547588005,0.282920469361147,0.641,0.465,0.532,0.406,0.059,0.017,0.015,0.023,0.294654498044329,0.215123859191656,0.207301173402868,0.282920469361147,0.532,0.465,0.704,0.6,0.406,0.014,0.017,0.042,0.02,0.023,0.203389830508475,0.217731421121252,0.114732724902216,0.18122555410691,0.282920469361147
"38","CTEEG018",-7.33443836691579e-09,-1.68788272370484e-08,"experiment",7.24615190006249e-07,-6.76197267997576e-10,0.966,0.567,0.236,0.065,0.250972762645914,0.749027237354086,0.49,0.6,0.963,0.037,0.043,0.236,0.227626459143969,0.517509727626459,0.254863813229572,0.659,0.573,0.489,0.985,0.025,0.019,0.036,0.233,0.190661478599222,0.356031128404669,0.219844357976654,0.233463035019455,0.819,0.573,0.489,1.261,0.658,0.06,0.019,0.036,0.142,0.023,0.151750972762646,0.356031128404669,0.219844357976654,0.0875486381322957,0.184824902723735
"39","CTEEG019",-1.20642192358439e-08,-2.7763525537748e-08,"experiment",6.55012190447762e-07,-5.37638403907531e-10,0.695,0.516,0.082,0.067,0.369565217391304,0.630434782608696,0.583,0.735,0.46,0.03,0.075,0.052,0.45048309178744,0.242753623188406,0.306763285024155,0.382,0.738,0.582,0.48,0.051,0.066,0.031,0.022,0.070048309178744,0.240338164251208,0.460144927536232,0.229468599033816,0.456,0.616,0.579,0.742,0.548,0.052,0.014,0.008,0.065,0.012,0.297101449275362,0.181159420289855,0.136473429951691,0.230676328502415,0.154589371980676
"40","CTEEG021",-8.64145692432578e-08,-1.98866836868924e-07,"experiment",4.63295063559663e-07,-3.26762292518462e-10,0.475,0.341,0.053,0.03,0.518089725036179,0.481910274963821,0.423,0.337,0.514,0.021,0.027,0.039,0.26917510853835,0.447178002894356,0.283646888567294,0.514,0.357,0.423,0.308,0.039,0.013,0.021,0.013,0.283646888567294,0.263386396526773,0.26917510853835,0.183791606367583,0.552,0.338,0.424,0.592,0.495,0.017,0.028,0.021,0.006,0.015,0.0419681620839363,0.44862518089725,0.276410998552822,0.0361794500723589,0.196816208393632
"41","CTEEG022",2.3066541565251e-07,5.30832960149782e-07,"experiment",1.02346731357939e-06,-7.80847565097399e-10,1.237,0.794,0.212,0.122,0.378615891614793,0.621384108385207,0.704,1.339,0.951,0.081,0.193,0.076,0.348956426217503,0.243866715488832,0.407176858293665,1.031,0.891,0.7,1.356,0.046,0.039,0.079,0.19,0.193701940681069,0.237275723178323,0.33650677407543,0.232515562065178,1.03,0.738,0.6,1.356,0.888,0.047,0.036,0.067,0.19,0.04,0.19516660563896,0.235078725741487,0.0944708897839619,0.23288172830465,0.242402050530941
"42","CTEEG023",4.03815957392807e-08,9.29306288634872e-08,"experiment",9.07248711696417e-07,-9.47356466227614e-10,0.964,0.672,0.112,0.075,0.433667781493868,0.566332218506132,1.059,0.669,0.87,0.078,0.073,0.044,0.211817168338907,0.555183946488294,0.232998885172798,0.968,0.64,0.739,0.56,0.11,0.023,0.036,0.035,0.420289855072464,0.193979933110368,0.283166109253066,0.102564102564103,0.877,0.769,0.607,1.06,0.703,0.039,0.019,0.045,0.078,0.017,0.216276477146042,0.139353400222965,0.274247491638796,0.210702341137124,0.159420289855072
"43","CTEEG024",-1.41466937753185e-07,-3.25559482317478e-07,"experiment",3.95706476736454e-07,-2.75508942652607e-10,0.309,0.417,0.039,0.047,0.517526777020448,0.482473222979552,0.34,0.275,0.421,0.014,0.033,0.046,0.31207400194742,0.236611489776047,0.451314508276534,0.46,0.334,0.275,0.38,0.038,0.01,0.033,0.015,0.214703018500487,0.244888023369036,0.236124634858812,0.304284323271665,0.297,0.335,0.243,0.38,0.462,0.011,0.01,0.03,0.016,0.035,0.148003894839338,0.238558909444985,0.0944498539435248,0.307692307692308,0.211295034079844
"44","CTEEG049",6.46089182248129e-09,1.48685242176463e-08,"experiment",7.01715658164074e-07,-5.90775826835376e-10,0.438,0.689,0.058,0.17,0.488458674609084,0.511541325390916,0.433,0.851,0.602,0.055,0.205,0.043,0.462397617274758,0.1734921816828,0.364110201042442,0.481,0.606,0.852,0.383,0.028,0.04,0.205,0.032,0.263588979895756,0.345495160089352,0.172002978406552,0.21891288160834,0.856,0.44,0.612,0.366,0.508,0.206,0.022,0.038,0.024,0.022,0.169769173492182,0.189128816083395,0.323157110945644,0.145197319434103,0.172747580044676
"45","CTEEG057",-1.20272180486279e-07,-2.76783744907815e-07,"experiment",4.63405321168601e-07,-3.69160387500052e-10,0.358,0.498,0.042,0.114,0.586355475763016,0.413644524236984,0.384,0.515,0.303,0.022,0.096,0.036,0.388868940754039,0.385996409335727,0.225134649910233,0.375,0.292,0.458,0.609,0.021,0.033,0.026,0.108,0.395691202872531,0.177019748653501,0.291921005385996,0.135368043087971,0.611,0.401,0.359,0.465,0.29,0.108,0.014,0.012,0.023,0.032,0.133213644524237,0.21508078994614,0.233752244165171,0.2491921005386,0.168761220825853
"46","CTEEG058",5.33932726890779e-08,1.22874549136096e-07,"experiment",7.22849622466153e-07,-5.19511121942012e-10,0.562,0.803,0.046,0.255,0.654166666666667,0.345833333333333,0.915,0.468,0.584,0.156,0.059,0.03,0.271875,0.242708333333333,0.485416666666667,0.62,0.469,0.567,0.921,0.02,0.059,0.015,0.153,0.171875,0.248958333333333,0.313541666666667,0.265625,0.469,0.793,0.62,1.041,0.567,0.059,0.066,0.019,0.109,0.015,0.248958333333333,0.132291666666667,0.16875,0.136458333333333,0.313541666666667
"47","CTEEG060",-7.3456928691315e-08,-1.69047270489446e-07,"experiment",5.28157426759138e-07,-4.36333958099231e-10,0.381,0.596,0.041,0.107,0.574358974358974,0.425641025641026,0.695,0.493,0.371,0.072,0.034,0.034,0.2,0.304273504273504,0.495726495726496,0.403,0.491,0.347,0.695,0.011,0.035,0.021,0.072,0.203418803418803,0.309401709401709,0.287179487179487,0.2,0.402,0.446,0.348,0.692,0.512,0.007,0.016,0.022,0.074,0.018,0.165811965811966,0.136752136752137,0.299145299145299,0.205128205128205,0.193162393162393
