"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","features_class","features_trials","features_scale"
"14","CTEEG047",0.255,0.119,0.099,0.032,0.285797213622291,0.714202786377709,0.271,0.097,0.154,0.103,0.021,0.018,0.235874613003096,0.411184210526316,0.352941176470588,0.118,0.082,0.276,0.16,0.01,0.016,0.104,0.016,0.256965944272446,0.21749226006192,0.223684210526316,0.301857585139319,0.107,0.14,0.332,0.071,0.188,0.009,0.01,0.115,0.013,0.021,0.260642414860681,0.236842105263158,0.119582043343653,0.124613003095975,0.258320433436532,"control",1,"ZscoredScaled"
"15","CTEEG048",0.077,0.149,0.02,0.035,0.45021227325357,0.54978772674643,0.168,0.113,0.069,0.033,0.012,0.016,0.325164029332304,0.340409108452335,0.334426862215361,0.072,0.143,0.114,0.195,0.017,0.009,0.009,0.031,0.38209185642609,0.208992666923968,0.261868004631416,0.147047472018526,0.115,0.059,0.088,0.143,0.195,0.008,0.012,0.007,0.008,0.031,0.246429949826322,0.206676958703203,0.196063296024701,0.203975299112312,0.146854496333462,"control",1,"ZscoredScaled"
"16","CTEEG051",0.374,0.222,0.075,0.048,0.363601385148134,0.636398614851866,0.266,0.18,0.387,0.023,0.032,0.073,0.385148133897653,0.302616390919584,0.312235475182763,0.39,0.284,0.238,0.171,0.073,0.014,0.014,0.028,0.296267795305887,0.237014236244709,0.218930357829935,0.247787610619469,0.39,0.153,0.205,0.285,0.244,0.073,0.02,0.013,0.014,0.01,0.296267795305887,0.146594844170835,0.152173913043478,0.229318968834167,0.175644478645633,"control",1,"ZscoredScaled"
"17","CTEEG052",0.219,0.377,0.045,0.067,0.6,0.4,0.25,0.377,0.176,0.02,0.066,0.033,0.346369796708616,0.404453049370765,0.24917715392062,0.175,0.424,0.245,0.314,0.032,0.054,0.017,0.022,0.241819941916747,0.221878025169409,0.311713455953533,0.22458857696031,0.157,0.255,0.216,0.315,0.424,0.028,0.012,0.012,0.022,0.054,0.151016456921588,0.217424975798645,0.190513068731849,0.220329138431752,0.220716360116166,"control",1,"ZscoredScaled"
"18","CTEEG053",0.125,0.244,0.031,0.059,0.57056765163297,0.42943234836703,0.252,0.102,0.156,0.058,0.023,0.017,0.377916018662519,0.30346034214619,0.318623639191291,0.13,0.086,0.176,0.265,0.011,0.02,0.017,0.057,0.271772939346812,0.165435458786936,0.256804043545879,0.305987558320373,0.139,0.231,0.18,0.095,0.317,0.011,0.017,0.013,0.022,0.059,0.252332814930016,0.19945567651633,0.194984447900467,0.235808709175739,0.117418351477449,"control",1,"ZscoredScaled"
"19","CTEEG054",0.136,0.062,0.031,0.021,0.48906945250532,0.51093054749468,0.048,0.091,0.147,0.015,0.012,0.029,0.320564906171406,0.318243373960147,0.361191719868447,0.045,0.082,0.165,0.117,0.013,0.01,0.026,0.01,0.271232346682144,0.269297736506094,0.207777132907719,0.251692783904043,0.119,0.09,0.166,0.066,0.039,0.009,0.007,0.026,0.007,0.011,0.229831688914684,0.195976010833817,0.201392919326756,0.178951441284581,0.193847939640163,"control",1,"ZscoredScaled"
"20","CTEEG055",0.089,0.211,0.028,0.075,0.567499515785396,0.432500484214604,0.073,0.266,0.143,0.019,0.075,0.022,0.380786364516754,0.204532248692621,0.414681386790626,0.118,0.273,0.068,0.163,0.012,0.074,0.017,0.014,0.248305248886306,0.190005810575247,0.324423784621344,0.237265155917102,0.272,0.059,0.123,0.163,0.091,0.074,0.012,0.009,0.014,0.009,0.190199496416812,0.210923881464265,0.194847956614371,0.234747239976758,0.169281425527794,"control",1,"ZscoredScaled"
"21","CTEEG056",0.074,0.139,0.023,0.029,0.500484214603912,0.499515785396088,0.103,0.15,0.059,0.01,0.027,0.018,0.349602944024792,0.349215572341662,0.301181483633546,0.045,0.15,0.105,0.076,0.013,0.027,0.008,0.008,0.150881270579121,0.347278713926012,0.31493317838466,0.186906837110207,0.098,0.119,0.045,0.16,0.075,0.005,0.008,0.013,0.027,0.008,0.196591129188456,0.227193492155723,0.150300213054426,0.246949447995352,0.178965717606043,"control",1,"ZscoredScaled"
"22","CTEEG059",0.343,0.186,0.085,0.041,0.474059787849566,0.525940212150434,0.401,0.177,0.271,0.08,0.037,0.024,0.243780135004822,0.45053037608486,0.305689488910318,0.403,0.278,0.215,0.153,0.08,0.021,0.015,0.029,0.239922854387657,0.261137897782064,0.238379942140791,0.260559305689489,0.278,0.218,0.403,0.174,0.125,0.021,0.014,0.08,0.012,0.025,0.259016393442623,0.214850530376085,0.239922854387657,0.179942140790743,0.106268081002893,"control",1,"ZscoredScaled"
"23","CTEEG061",0.145,0.251,0.035,0.055,0.505469199769718,0.494530800230282,0.134,0.209,0.3,0.032,0.02,0.055,0.403377470734984,0.40260986374976,0.194012665515256,0.223,0.308,0.117,0.175,0.015,0.055,0.026,0.013,0.293225868355402,0.173479178660526,0.256764536557283,0.276530416426789,0.223,0.308,0.143,0.097,0.18,0.015,0.055,0.011,0.021,0.011,0.289195931682978,0.17232776818269,0.174438687392055,0.13126079447323,0.232776818269046,"control",1,"ZscoredScaled"
"24","CTEEG062",0.077,0.079,0.011,0.042,0.532021604938272,0.467978395061728,0.078,0.091,0.064,0.052,0.009,0.008,0.254243827160494,0.383680555555556,0.362075617283951,0.075,0.095,0.053,0.098,0.005,0.007,0.009,0.056,0.260223765432099,0.285108024691358,0.293402777777778,0.161265432098765,0.077,0.125,0.039,0.093,0.063,0.004,0.022,0.014,0.005,0.004,0.208912037037037,0.161844135802469,0.21045524691358,0.232253086419753,0.186535493827161,"control",1,"ZscoredScaled"
"25","CTEEG065",0.108,0.193,0.027,0.043,0.544394793083349,0.45560520691665,0.213,0.146,0.094,0.042,0.014,0.023,0.286186127841461,0.357101224013989,0.35671264814455,0.13,0.087,0.167,0.236,0.01,0.021,0.012,0.041,0.271808820672236,0.277443170779095,0.278026034583252,0.172721973965417,0.07,0.168,0.105,0.236,0.133,0.018,0.012,0.008,0.041,0.009,0.130367204196619,0.270643093063921,0.185739265591607,0.17194482222654,0.241305614921313,"control",1,"ZscoredScaled"
"26","CTEEG030",0.348,0.216,0.065,0.037,0.515900383141762,0.484099616858238,0.203,0.286,0.393,0.031,0.023,0.059,0.374329501915709,0.356130268199234,0.269540229885057,0.194,0.304,0.4,0.255,0.028,0.016,0.058,0.014,0.306513409961686,0.249233716475096,0.242337164750958,0.201915708812261,0.217,0.4,0.305,0.172,0.258,0.011,0.058,0.016,0.024,0.012,0.180842911877395,0.240996168582375,0.243103448275862,0.144827586206897,0.190229885057471,"control",1,"Minmaxscale"
"27","CTEEG031",0.209,0.364,0.048,0.092,0.530876109610189,0.469123890389811,0.244,0.369,0.159,0.023,0.093,0.032,0.347549208799691,0.443072172906214,0.209378618294095,0.234,0.156,0.309,0.435,0.018,0.031,0.025,0.107,0.287919722115013,0.195870320339637,0.326321883442686,0.189888074102663,0.451,0.212,0.324,0.142,0.26,0.112,0.016,0.023,0.026,0.015,0.156503280586646,0.214781937475878,0.282709378618294,0.138556541875724,0.207448861443458,"control",1,"Minmaxscale"
"28","CTEEG032",0.269,0.147,0.064,0.032,0.40495867768595,0.59504132231405,0.294,0.127,0.191,0.062,0.024,0.02,0.277532192965597,0.366327118969825,0.356140688064578,0.16,0.306,0.21,0.11,0.013,0.061,0.017,0.018,0.30367095906208,0.231597155487219,0.254660772631174,0.210071112819527,0.226,0.106,0.322,0.179,0.148,0.018,0.016,0.06,0.01,0.009,0.229290793772823,0.181818181818182,0.179896213722852,0.210455506438593,0.198539304247549,"control",1,"Minmaxscale"
"29","CTEEG033",0.264,0.155,0.045,0.034,0.440677966101695,0.559322033898305,0.142,0.21,0.289,0.029,0.018,0.039,0.416217257318952,0.314522342064715,0.269260400616333,0.292,0.215,0.164,0.115,0.038,0.017,0.012,0.023,0.2557781201849,0.288713405238829,0.281587057010786,0.173921417565485,0.192,0.301,0.232,0.158,0.113,0.011,0.036,0.014,0.009,0.022,0.190485362095532,0.208397534668721,0.214175654853621,0.224576271186441,0.162365177195686,"control",1,"Minmaxscale"
"30","CTEEG034",0.275,0.459,0.053,0.082,0.627564847077042,0.372435152922958,0.222,0.462,0.312,0.036,0.082,0.026,0.245451025938831,0.363917924893535,0.390631049167635,0.496,0.295,0.22,0.362,0.075,0.016,0.035,0.024,0.252226093689508,0.276229190863337,0.233255903987611,0.238288811459543,0.363,0.496,0.191,0.297,0.25,0.024,0.075,0.028,0.015,0.014,0.237708091366628,0.252226093689508,0.111691831204026,0.255516840882695,0.142857142857143,"control",1,"Minmaxscale"
"31","CTEEG035",0.15,0.293,0.039,0.07,0.574418604651163,0.425581395348837,0.337,0.128,0.213,0.062,0.028,0.025,0.244573643410853,0.378294573643411,0.377131782945736,0.157,0.106,0.338,0.219,0.015,0.021,0.062,0.022,0.23953488372093,0.197286821705426,0.24031007751938,0.322868217054264,0.347,0.242,0.193,0.149,0.104,0.06,0.016,0.014,0.01,0.02,0.213372093023256,0.193798449612403,0.222480620155039,0.186240310077519,0.184108527131783,"control",1,"Minmaxscale"
"32","CTEEG036",0.361,0.574,0.067,0.088,0.655864197530864,0.344135802469136,0.306,0.593,0.427,0.045,0.082,0.031,0.337384259259259,0.291473765432099,0.371141975308642,0.442,0.29,0.594,0.376,0.022,0.038,0.082,0.018,0.270061728395062,0.258873456790123,0.288966049382716,0.182098765432099,0.483,0.289,0.427,0.375,0.621,0.025,0.038,0.012,0.018,0.075,0.173996913580247,0.256751543209877,0.171489197530864,0.178240740740741,0.219521604938272,"control",1,"Minmaxscale"
"33","CTEEG037",0.145,0.283,0.033,0.068,0.482135996926623,0.517864003073377,0.223,0.337,0.137,0.022,0.059,0.029,0.338647714175951,0.248559354590857,0.412792931233192,0.116,0.17,0.339,0.232,0.02,0.017,0.058,0.018,0.22915866308106,0.247791010372647,0.244717633499808,0.278332693046485,0.146,0.188,0.24,0.347,0.104,0.011,0.014,0.018,0.056,0.015,0.1890126776796,0.190741452170572,0.257011140991164,0.219170188244333,0.14406454091433,"control",1,"Minmaxscale"
"34","CTEEG038",0.175,0.316,0.043,0.082,0.6,0.4,0.228,0.34,0.148,0.021,0.085,0.032,0.350338164251208,0.29256038647343,0.357101449275362,0.222,0.148,0.439,0.295,0.018,0.032,0.108,0.025,0.304734299516908,0.351884057971015,0.08,0.263381642512077,0.439,0.17,0.222,0.114,0.295,0.108,0.011,0.018,0.023,0.025,0.08,0.213719806763285,0.303768115942029,0.138743961352657,0.263768115942029,"control",1,"Minmaxscale"
"35","CTEEG041",0.275,0.475,0.06,0.098,0.568230071414785,0.431769928585215,0.232,0.49,0.337,0.044,0.096,0.027,0.316927234124686,0.377533294730747,0.305539471144567,0.23,0.33,0.574,0.423,0.044,0.023,0.097,0.031,0.309978768577495,0.275815479637136,0.156340474811812,0.257865276973557,0.574,0.272,0.424,0.2,0.337,0.097,0.018,0.031,0.037,0.02,0.15537541015248,0.18355529820498,0.251302837290098,0.16348195329087,0.246284501061571,"control",1,"Minmaxscale"
"36","CTEEG042",0.129,0.304,0.045,0.092,0.703982985305491,0.296017014694509,0.32,0.176,0.095,0.091,0.023,0.028,0.252513534416087,0.356535189481825,0.390951276102088,0.195,0.082,0.333,0.14,0.019,0.022,0.089,0.015,0.25831399845321,0.273781902552204,0.222931167826759,0.244972931167827,0.147,0.333,0.11,0.068,0.197,0.012,0.089,0.01,0.018,0.018,0.203402938901779,0.221771075019335,0.162026295436968,0.169760247486466,0.243039443155452,"control",1,"Minmaxscale"
"37","CTEEG043",0.123,0.248,0.034,0.054,0.549402617106012,0.450597382893988,0.164,0.266,0.097,0.021,0.049,0.024,0.365067324103926,0.345344206334155,0.289588469561919,0.141,0.09,0.189,0.278,0.012,0.021,0.017,0.046,0.243883937037739,0.231177697705291,0.238763512232126,0.286174853024844,0.3,0.227,0.179,0.139,0.089,0.042,0.015,0.012,0.011,0.021,0.186611037360137,0.160250331879386,0.197231177697705,0.228901953347241,0.227005499715532,"control",1,"Minmaxscale"
"38","CTEEG046",0.227,0.388,0.048,0.078,0.583269230769231,0.416730769230769,0.187,0.4,0.271,0.035,0.077,0.024,0.2775,0.363269230769231,0.359230769230769,0.185,0.261,0.475,0.339,0.034,0.019,0.068,0.026,0.265961538461538,0.300769230769231,0.144423076923077,0.288846153846154,0.478,0.351,0.174,0.286,0.237,0.067,0.02,0.032,0.016,0.014,0.141153846153846,0.222115384615385,0.200961538461538,0.222692307692308,0.213076923076923,"control",1,"Minmaxscale"
"39","CTEEG047",0.255,0.119,0.099,0.032,0.285797213622291,0.714202786377709,0.271,0.097,0.154,0.103,0.021,0.018,0.235874613003096,0.411184210526316,0.352941176470588,0.118,0.082,0.276,0.16,0.01,0.016,0.104,0.016,0.256965944272446,0.21749226006192,0.223684210526316,0.301857585139319,0.107,0.14,0.332,0.071,0.188,0.009,0.01,0.115,0.013,0.021,0.260642414860681,0.236842105263158,0.119582043343653,0.124613003095975,0.258320433436532,"control",1,"Minmaxscale"
"40","CTEEG048",0.077,0.149,0.02,0.035,0.45021227325357,0.54978772674643,0.168,0.113,0.069,0.033,0.012,0.016,0.325164029332304,0.340409108452335,0.334426862215361,0.072,0.143,0.114,0.195,0.017,0.009,0.009,0.031,0.38209185642609,0.208992666923968,0.261868004631416,0.147047472018526,0.115,0.059,0.088,0.143,0.195,0.008,0.012,0.007,0.008,0.031,0.246429949826322,0.206676958703203,0.196063296024701,0.203975299112312,0.146854496333462,"control",1,"Minmaxscale"
"41","CTEEG051",0.374,0.222,0.075,0.048,0.363601385148134,0.636398614851866,0.266,0.18,0.387,0.023,0.032,0.073,0.385148133897653,0.302616390919584,0.312235475182763,0.39,0.284,0.238,0.171,0.073,0.014,0.014,0.028,0.296267795305887,0.237014236244709,0.218930357829935,0.247787610619469,0.39,0.153,0.205,0.285,0.244,0.073,0.02,0.013,0.014,0.01,0.296267795305887,0.146594844170835,0.152173913043478,0.229318968834167,0.175644478645633,"control",1,"Minmaxscale"
"42","CTEEG052",0.219,0.377,0.045,0.067,0.6,0.4,0.25,0.377,0.176,0.02,0.066,0.033,0.346369796708616,0.404453049370765,0.24917715392062,0.175,0.424,0.245,0.314,0.032,0.054,0.017,0.022,0.241819941916747,0.221878025169409,0.311713455953533,0.22458857696031,0.157,0.255,0.216,0.315,0.424,0.028,0.012,0.012,0.022,0.054,0.151016456921588,0.217424975798645,0.190513068731849,0.220329138431752,0.220716360116166,"control",1,"Minmaxscale"
"43","CTEEG053",0.125,0.244,0.031,0.059,0.57056765163297,0.42943234836703,0.252,0.102,0.156,0.058,0.023,0.017,0.377916018662519,0.30346034214619,0.318623639191291,0.13,0.086,0.176,0.265,0.011,0.02,0.017,0.057,0.271772939346812,0.165435458786936,0.256804043545879,0.305987558320373,0.139,0.231,0.18,0.095,0.317,0.011,0.017,0.013,0.022,0.059,0.252332814930016,0.19945567651633,0.194984447900467,0.235808709175739,0.117418351477449,"control",1,"Minmaxscale"
"44","CTEEG054",0.136,0.062,0.031,0.021,0.48906945250532,0.51093054749468,0.048,0.091,0.147,0.015,0.012,0.029,0.320564906171406,0.318243373960147,0.361191719868447,0.045,0.082,0.165,0.117,0.013,0.01,0.026,0.01,0.271232346682144,0.269297736506094,0.207777132907719,0.251692783904043,0.119,0.09,0.166,0.066,0.039,0.009,0.007,0.026,0.007,0.011,0.229831688914684,0.195976010833817,0.201392919326756,0.178951441284581,0.193847939640163,"control",1,"Minmaxscale"
"45","CTEEG055",0.089,0.211,0.028,0.075,0.567499515785396,0.432500484214604,0.073,0.266,0.143,0.019,0.075,0.022,0.380786364516754,0.204532248692621,0.414681386790626,0.118,0.273,0.068,0.163,0.012,0.074,0.017,0.014,0.248305248886306,0.190005810575247,0.324423784621344,0.237265155917102,0.272,0.059,0.123,0.163,0.091,0.074,0.012,0.009,0.014,0.009,0.190199496416812,0.210923881464265,0.194847956614371,0.234747239976758,0.169281425527794,"control",1,"Minmaxscale"
"46","CTEEG056",0.074,0.139,0.023,0.029,0.500484214603912,0.499515785396088,0.103,0.15,0.059,0.01,0.027,0.018,0.349602944024792,0.349215572341662,0.301181483633546,0.045,0.15,0.105,0.076,0.013,0.027,0.008,0.008,0.150881270579121,0.347278713926012,0.31493317838466,0.186906837110207,0.098,0.119,0.045,0.16,0.075,0.005,0.008,0.013,0.027,0.008,0.196591129188456,0.227193492155723,0.150300213054426,0.246949447995352,0.178965717606043,"control",1,"Minmaxscale"
"47","CTEEG059",0.343,0.186,0.085,0.041,0.474059787849566,0.525940212150434,0.401,0.177,0.271,0.08,0.037,0.024,0.243780135004822,0.45053037608486,0.305689488910318,0.403,0.278,0.215,0.153,0.08,0.021,0.015,0.029,0.239922854387657,0.261137897782064,0.238379942140791,0.260559305689489,0.278,0.218,0.403,0.174,0.125,0.021,0.014,0.08,0.012,0.025,0.259016393442623,0.214850530376085,0.239922854387657,0.179942140790743,0.106268081002893,"control",1,"Minmaxscale"
"48","CTEEG061",0.145,0.251,0.035,0.055,0.505469199769718,0.494530800230282,0.134,0.209,0.3,0.032,0.02,0.055,0.403377470734984,0.40260986374976,0.194012665515256,0.223,0.308,0.117,0.175,0.015,0.055,0.026,0.013,0.293225868355402,0.173479178660526,0.256764536557283,0.276530416426789,0.223,0.308,0.143,0.097,0.18,0.015,0.055,0.011,0.021,0.011,0.289195931682978,0.17232776818269,0.174438687392055,0.13126079447323,0.232776818269046,"control",1,"Minmaxscale"
"49","CTEEG062",0.077,0.079,0.011,0.042,0.532021604938272,0.467978395061728,0.078,0.091,0.064,0.052,0.009,0.008,0.254243827160494,0.383680555555556,0.362075617283951,0.075,0.095,0.053,0.098,0.005,0.007,0.009,0.056,0.260223765432099,0.285108024691358,0.293402777777778,0.161265432098765,0.077,0.125,0.039,0.093,0.063,0.004,0.022,0.014,0.005,0.004,0.208912037037037,0.161844135802469,0.21045524691358,0.232253086419753,0.186535493827161,"control",1,"Minmaxscale"
"50","CTEEG065",0.108,0.193,0.027,0.043,0.544394793083349,0.45560520691665,0.213,0.146,0.094,0.042,0.014,0.023,0.286186127841461,0.357101224013989,0.35671264814455,0.13,0.087,0.167,0.236,0.01,0.021,0.012,0.041,0.271808820672236,0.277443170779095,0.278026034583252,0.172721973965417,0.07,0.168,0.105,0.236,0.133,0.018,0.012,0.008,0.041,0.009,0.130367204196619,0.270643093063921,0.185739265591607,0.17194482222654,0.241305614921313,"control",1,"Minmaxscale"
"51","CTEEG030",0.868,0.604,0.129,0.074,0.515900383141762,0.484099616858238,0.577,0.744,0.957,0.062,0.045,0.118,0.374329501915709,0.356130268199234,0.269540229885057,0.56,0.78,0.971,0.681,0.056,0.033,0.116,0.027,0.306513409961686,0.249233716475096,0.242337164750958,0.201915708812261,0.606,0.971,0.781,0.516,0.688,0.022,0.116,0.032,0.047,0.025,0.180842911877395,0.240996168582375,0.243103448275862,0.144827586206897,0.190229885057471,"control",1,"RawMidline"
"52","CTEEG031",0.59,0.899,0.096,0.184,0.530876109610189,0.469123890389811,0.66,0.909,0.49,0.045,0.184,0.065,0.347742184484755,0.44287919722115,0.209378618294095,0.64,0.485,0.789,1.041,0.036,0.062,0.05,0.214,0.287919722115013,0.195870320339637,0.326321883442686,0.189888074102663,1.073,0.597,0.819,0.456,0.692,0.224,0.033,0.046,0.051,0.03,0.156503280586646,0.214781937475878,0.282709378618294,0.138556541875724,0.207448861443458,"control",1,"RawMidline"
"53","CTEEG032",0.709,0.466,0.127,0.065,0.40495867768595,0.59504132231405,0.76,0.426,0.553,0.123,0.048,0.039,0.277532192965597,0.366327118969825,0.356140688064578,0.492,0.783,0.591,0.393,0.027,0.121,0.034,0.036,0.30367095906208,0.231597155487219,0.254660772631174,0.210071112819527,0.623,0.385,0.814,0.531,0.467,0.036,0.032,0.12,0.021,0.018,0.229290793772823,0.181818181818182,0.179896213722852,0.210455506438593,0.198539304247549,"control",1,"RawMidline"
