"","Subject","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5","class"
"22","C59",0.727,-0.365,0.542,0.29,0.409141583054627,0.590858416945373,-0.598,0.782,-0.097,0.199,0.531,0.129,0.30546265328874,0.374581939799331,0.319955406911929,-0.792,-0.393,-0.04,0.803,0.126,0.11,0.113,0.527,0.134894091415831,0.244147157190635,0.263099219620959,0.357859531772575,-0.505,-0.287,-0.007,-0.806,0.824,0.056,0.075,0.113,0.118,0.525,0.117056856187291,0.166109253065775,0.245261984392419,0.124860646599777,0.346711259754738,"control"
"23","C61",1.642,-0.025,0.811,0.399,0.284280936454849,0.71571906354515,-0.392,1.615,0.267,0.269,0.815,0.163,0.315496098104794,0.295429208472687,0.389074693422519,0.304,1.607,-0.709,-0.175,0.135,0.816,0.164,0.143,0.327759197324415,0.298773690078038,0.110367892976589,0.263099219620959,-0.423,1.607,-0.115,0.307,-0.823,0.095,0.816,0.113,0.134,0.082,0.109253065774805,0.298773690078038,0.198439241917503,0.324414715719064,0.0691192865105909,"control"
"24","C62",-1.203,-0.804,0.117,0.162,0.53288740245262,0.46711259754738,-1.26,-0.676,-1.002,0.093,0.112,0.076,0.365663322185061,0.24860646599777,0.385730211817168,-1.352,-1.196,-0.675,-0.999,0.067,0.042,0.112,0.075,0.148272017837235,0.224080267558528,0.24860646599777,0.379041248606466,-1.201,-1.07,-0.92,-1.354,-0.642,0.039,0.039,0.057,0.067,0.093,0.216276477146042,0.193979933110368,0.239687848383501,0.1438127090301,0.206243032329989,"control"
"25","C65",-0.307,-0.988,0.229,0.211,0.552954292084727,0.447045707915273,-0.476,-0.995,-0.082,0.106,0.207,0.151,0.33221850613155,0.435897435897436,0.231884057971014,-0.085,-1.208,-0.842,-0.476,0.153,0.123,0.084,0.105,0.232998885172798,0.182831661092531,0.256410256410256,0.327759197324415,-0.578,-1.208,-0.85,-0.07,-0.384,0.062,0.124,0.078,0.146,0.057,0.168338907469342,0.182831661092531,0.243032329988852,0.21850613154961,0.187290969899666,"control"
"26","C02",1.031,-0.387,0.878,0.173,0.207983898020798,0.792016101979202,1.365,-0.459,-0.093,0.786,0.123,0.121,0.15330426031533,0.608017443810802,0.238678295873868,-0.078,1.367,-0.32,-0.521,0.116,0.786,0.033,0.098,0.220731298222073,0.152968802415297,0.210415967796042,0.415883931566588,-0.312,-0.573,-0.081,-0.412,1.367,0.025,0.079,0.117,0.026,0.786,0.177373364642737,0.274823884602482,0.224505199597451,0.170244884267024,0.153052666890305,"experiment"
"27","C03",1.2,-0.227,0.801,0.305,0.318279151255597,0.681720848744403,1.296,0.082,-0.483,0.793,0.171,0.148,0.284601907728246,0.360619038349231,0.354779053922523,0.175,1.294,-0.5,-0.145,0.114,0.793,0.138,0.067,0.247323340471092,0.285283239244695,0.330932450846798,0.136460969437415,0.139,0.688,-0.584,1.895,-0.245,0.093,0.217,0.092,0.772,0.109,0.225715398092272,0.180163519563948,0.214716760755305,0.135779637920966,0.24362468366751,"experiment"
"28","C04",4.081,0.909,1.339,0.72,0.310001745505324,0.689998254494676,5.416,2.588,0.643,1.032,0.772,0.574,0.124890905917263,0.336009774829813,0.539099319252924,1.294,1.956,4.239,0.274,0.165,0.233,1.287,0.369,0.209373363588759,0.165212078896841,0.284255541979403,0.341159015534997,0.048,-0.287,4.134,1.529,0.52,0.069,0.165,1.321,0.361,0.152,0.0748821783906441,0.0651946238436027,0.301361494152557,0.367777971722814,0.190783731890382,"experiment"
"29","C05",-0.037,-0.463,0.126,0.118,0.394274609462591,0.605725390537409,-0.028,-0.542,-0.335,0.121,0.077,0.049,0.377681441064355,0.369982808879587,0.252335750056058,-0.613,-0.49,-0.334,-0.028,0.062,0.034,0.049,0.121,0.15389789969355,0.217953509230884,0.250317662007624,0.377830929067942,-0.49,-0.613,0.018,-0.343,-0.176,0.034,0.062,0.105,0.042,0.049,0.217953509230884,0.153823155691756,0.280215262725166,0.227670229464085,0.120337842888108,"experiment"
"30","C06",-0.098,-0.636,0.476,0.107,0.378165938864629,0.621834061135371,-0.544,-0.004,-0.755,0.049,0.398,0.101,0.31528384279476,0.34129063561378,0.34342552159146,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915,-0.501,-0.586,-0.755,0.476,-0.255,0.031,0.018,0.102,0.306,0.083,0.162154294032023,0.155070354196992,0.344395924308588,0.117903930131004,0.220475497331393,"experiment"
"31","C07",1.022,-0.638,0.54,0.127,0.28983164983165,0.71016835016835,-0.455,1.031,-0.694,0.074,0.531,0.079,0.171851851851852,0.287946127946128,0.54020202020202,-0.465,-0.596,1.032,-0.731,0.079,0.003,0.531,0.06,0.186936026936027,0.129158249158249,0.287811447811448,0.396094276094276,-0.694,0.058,0.821,1.7,-0.459,0.079,0.241,0.136,0.293,0.068,0.541279461279461,0.0297643097643098,0.172929292929293,0.0894276094276094,0.166599326599327,"experiment"
"32","C08",-0.521,0.7,0.202,0.642,0.608219379503014,0.391780620496986,-0.082,0.99,-0.585,0.158,0.564,0.162,0.228789883840612,0.270989560358771,0.500220555800618,-0.769,0.991,-0.475,-0.08,0.089,0.564,0.073,0.157,0.185560946919571,0.270989560358771,0.315762387884135,0.227687104837524,-0.08,-0.866,-0.474,-0.703,0.991,0.157,0.018,0.072,0.054,0.564,0.227687104837524,0.0732980444052345,0.312968681076312,0.115056609322159,0.270989560358771,"experiment"
"33","C09",-0.425,1.683,0.212,0.991,0.728802447552448,0.271197552447552,-0.267,-0.636,1.576,0.081,0.088,1.043,0.383522727272727,0.326486013986014,0.289991258741259,-0.581,1.573,-0.265,-0.733,0.064,1.044,0.079,0.025,0.21722027972028,0.290428321678322,0.378496503496503,0.113854895104895,-0.271,-0.634,0.3,2.834,1.616,0.074,0.089,0.275,0.201,0.461,0.369318181818182,0.329982517482518,0.104676573426573,0.0882867132867133,0.107736013986014,"experiment"
"34","C10",-0.163,-0.551,0.644,0.103,0.23447995115001,0.76552004884999,-0.154,-0.459,-0.633,0.649,0.053,0.062,0.228373702422145,0.366069611235498,0.405556686342357,-0.645,-0.151,-0.516,-0.412,0.059,0.648,0.026,0.028,0.357419092204356,0.227966619173621,0.231325055973947,0.183289232648077,-0.507,-0.136,-0.412,-0.688,-0.583,0.02,0.648,0.028,0.048,0.02,0.186342357012009,0.222572766130674,0.184306940769387,0.209139018929371,0.197638917158559,"experiment"
"35","C11",0.369,-0.618,0.648,0.136,0.437693229856773,0.562306770143227,0.728,-0.678,-0.295,0.595,0.093,0.14,0.266893810335037,0.427913433024166,0.305192756640798,-0.139,-0.697,-0.458,0.847,0.129,0.083,0.067,0.569,0.209476938608114,0.376048962079626,0.188466149283866,0.226007950028393,-0.616,-0.772,-0.133,-0.442,0.849,0.033,0.041,0.127,0.063,0.569,0.208278124802827,0.188024481039813,0.204870969777273,0.173197047132311,0.225629377247776,"experiment"
"36","C12",-0.098,-0.636,0.476,0.107,0.378165938864629,0.621834061135371,-0.544,-0.004,-0.755,0.049,0.398,0.101,0.31528384279476,0.34129063561378,0.34342552159146,-0.544,-0.711,-0.004,-0.9,0.049,0.048,0.398,0.095,0.314507520621058,0.263658418243571,0.34129063561378,0.0805434255215915,-0.501,-0.586,-0.755,0.476,-0.255,0.031,0.018,0.102,0.306,0.083,0.162154294032023,0.155070354196992,0.344395924308588,0.117903930131004,0.220475497331393,"experiment"
"37","C13",4.55,0.745,2.097,0.772,0.288864142538976,0.711135857461024,5.501,-0.012,1.562,1.853,0.249,0.569,0.199331848552339,0.320155902004454,0.480512249443207,5.589,2.182,1.173,-0.021,1.818,0.313,0.337,0.241,0.192984409799555,0.191870824053452,0.300779510022272,0.314365256124722,0.919,5.595,1.566,2.245,-0.033,0.223,1.816,0.119,0.286,0.231,0.188307349665924,0.192538975501114,0.143429844097996,0.168819599109131,0.306904231625835,"experiment"
"38","C15",-0.127,-0.729,0.236,0.134,0.213423891330404,0.786576108669596,-0.627,-0.141,-0.877,0.057,0.242,0.031,0.455133839392729,0.221654015181782,0.323212145425489,-0.69,-0.185,-0.879,-0.6,0.041,0.258,0.03,0.022,0.173791450259688,0.251058729524571,0.318337994406712,0.256811825809029,-0.602,-0.457,-0.69,-0.879,-0.014,0.019,0.075,0.041,0.03,0.185,0.240990811026768,0.114662405113863,0.174990011985617,0.318337994406712,0.15101877746704,"experiment"
"39","C17",0.65,-0.263,0.397,0.214,0.442039485600435,0.557960514399565,0.737,-0.012,-0.42,0.37,0.128,0.138,0.373483064662199,0.314164100706394,0.312352834631407,0.25,0.901,-0.456,-0.12,0.122,0.321,0.123,0.089,0.217170802390871,0.262271327658033,0.260369498279297,0.260188371671799,-0.095,0.903,0.255,-0.598,-0.349,0.078,0.321,0.12,0.071,0.066,0.225230936424561,0.26136569462054,0.214272776670893,0.0956348487592827,0.203495743524724,"experiment"
