"","Subject","angle_sum","dis_sum","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3"
"21","C24",-114.227804086997,0.913072456800212,-0.32,0.199,-0.648,0.075,0.277,0.127,0.276925449078714,0.301184694061111,0.421889856860175
"22","C30",-90.9753599857539,0.610204771375492,-0.269,0.651,1.809,0.253,0.305,0.404,0.469342251950948,0.387959866220736,0.142697881828317
"23","C31",-115.3822845036,0.753753078190902,-0.304,2.162,0.52,0.251,1.11,0.2,0.409141583054627,0.224080267558528,0.366778149386845
"24","C32",-47.8944836261251,0.496671312246826,-0.62,1.792,0.512,0.356,0.472,0.245,0.710144927536232,0.127090301003344,0.162764771460424
"25","C33",-123.512706558823,0.614848621405815,0.108,-0.442,1.024,0.179,0.15,0.398,0.338907469342252,0.462653288740245,0.198439241917503
"26","C34",-56.8283301334302,0.762090367562925,-0.307,2.227,0.976,0.423,0.384,0.253,0.438127090301003,0.22742474916388,0.334448160535117
"27","C35",-80.1973053521656,0.634054911552202,0.27,0.919,-0.475,0.184,0.312,0.285,0.338907469342252,0.180602006688963,0.480490523968785
"28","C36",-100.059325908609,0.748072005867702,1.726,0.865,2.908,0.21,0.228,0.783,0.459308807134894,0.224080267558528,0.316610925306577
"29","C37",-60.5399658437648,0.700680985370354,-0.924,0.617,-0.392,0.149,0.523,0.144,0.297658862876254,0.372352285395764,0.329988851727982
"30","C38",-113.546651793537,0.678189337209095,0.022,0.66,-0.517,0.151,0.269,0.127,0.289855072463768,0.459308807134894,0.250836120401338
"31","C41",124.589816522071,0.699781180663874,-0.395,0.499,1.775,0.309,0.232,0.619,0.230769230769231,0.38015607580825,0.389074693422519
"32","C42",-129.008558122112,0.53986703783218,-0.862,-0.344,0.33,0.206,0.158,0.239,0.375696767001115,0.374581939799331,0.249721293199554
"33","C43",178.410535894793,0.654557615727787,-0.266,-1.289,-0.953,0.385,0.141,0.1,0.511705685618729,0.235228539576366,0.253065774804905
"34","C46",-132.927281441632,0.612118649153392,-0.056,-0.057,1.04,0.372,0.071,0.39,0.450390189520624,0.284280936454849,0.265328874024526
"35","C47",-113.711798822237,0.748812202967471,-1.148,-0.825,-0.381,0.133,0.064,0.19,0.351170568561873,0.197324414715719,0.451505016722408
"36","C48",-90.8039692514406,0.700428248344864,-0.803,-1.123,-0.335,0.079,0.098,0.245,0.404682274247492,0.260869565217391,0.334448160535117
"37","C49",125.372410994469,0.616964775114529,-0.678,0.326,-0.23,0.128,0.467,0.126,0.276514595863283,0.331181849298323,0.392303554838394
"38","C51",7.105427357601e-15,0.478890766653544,1.003,-0.158,-0.588,0.688,0.141,0.13,0.299888517279822,0.250836120401338,0.449275362318841
"39","C52",-44.942155017063,0.708705110916161,0.413,-0.605,3.03,0.362,0.237,1.911,0.416945373467113,0.307692307692308,0.27536231884058
"40","C57",136.363935244214,1.49909940556343,-0.727,-0.887,-0.413,0.049,0.046,0.19,0.338168879156973,0.417772911819716,0.244058209023311
"41","C58",-107.354796536071,0.574038321671637,-0.865,0.02,-0.599,0.068,0.397,0.049,0.163758389261745,0.408351976137211,0.427889634601044
"42","C60",-46.4957580203456,0.388342243192973,-0.23,-0.837,-0.598,0.18,0.069,0.065,0.23259511641113,0.458716638273708,0.308688245315162
