"","Subject","hhm_2_aics","hhm_3_aics","hhm_4_aics","hhm_5_aics","performance_class","performance_trials"
"158","CTEEG011",-3856.73637427901,-8156.13702676482,-10385.6703345418,-12758.7828054596,"experiment","1"
"159","CTEEG012",7440.31405374679,289.40815571695,-3638.76852452132,-6618.91183916599,"experiment","1"
"160","CTEEG013",942.346895419212,-2005.16148701044,-4079.69116989908,-5686.31776711032,"experiment","1"
"161","CTEEG015",8174.10721537383,1754.52552976078,-2933.66989911196,-5495.06532028776,"experiment","1"
"162","CTEEG017",4214.18460640247,-1972.96788265068,-5274.96550551367,-8429.53117142794,"experiment","1"
"163","CTEEG018",1636.33517889007,-351.289532864696,-1383.59209770737,-1989.40411069698,"experiment","1"
"164","CTEEG019",1440.66654718791,-592.822835327735,-1971.89462356882,-3004.59527220715,"experiment","1"
"165","CTEEG021",-88.8059063821296,-5023.5057683004,-9629.33546741817,-12718.391572593,"experiment","1"
"166","CTEEG022",3097.6218693917,1609.39573491926,558.285623581426,53.5315131520218,"experiment","1"
"167","CTEEG023",6154.32473505268,3444.81950178288,1186.97836807966,-48.0957964992159,"experiment","1"
"168","CTEEG024",-4987.99818317822,-10968.5342526824,-14944.958090781,-18609.2894611073,"experiment","1"
"169","CTEEG049",5004.2469493279,1333.83526919934,-1322.32597941383,-3501.65573251511,"experiment","1"
"170","CTEEG057",474.884877545955,-1507.48896861977,-3334.30452266219,-4414.42788683975,"experiment","1"
"171","CTEEG058",11083.5485856123,5496.42527021041,1673.40861394229,-1654.87100173762,"experiment","1"
"172","CTEEG060",1001.64576230515,117.104930314595,-643.930257304705,-1000.68671094802,"experiment","1"
"173","CTEEG002",-5717.22482824511,-6440.08948670341,-7782.00528919641,-8567.42583939924,"experiment","1"
"174","CTEEG003",-9673.77069197401,-12629.6003400088,-14438.0652784963,-16137.9916231397,"experiment","1"
"175","CTEEG004",-17939.4489640564,-22950.0312826646,-27477.0713632427,-30434.2173810276,"experiment","1"
"176","CTEEG005",-11702.2174600103,-13768.123065929,-15379.8437743455,-16501.4064231172,"experiment","1"
"177","CTEEG006",-6854.46520830296,-7976.74034308348,-8779.37327444237,-9315.2673971238,"experiment","1"
"178","CTEEG008",-7412.56276230737,-8614.64549610345,-9341.58653094939,-10281.1247133091,"experiment","1"
"179","CTEEG009",-2375.1868543206,-2896.70087723993,-3193.27116241202,-3333.82652901642,"experiment","1"
"180","CTEEG011",-26328.739935237,-30628.1405109318,-32857.6738292928,-35230.7860185942,"experiment","1"
"181","CTEEG012",-26800.6414506278,-33951.5474892796,-37879.7234631845,-40859.8662023845,"experiment","1"
"182","CTEEG013",-13165.4201779439,-16112.9285251617,-18187.4581543601,-19794.0847580162,"experiment","1"
"183","CTEEG015",-26480.8760128665,-32900.4570303934,-37588.6527317752,-40150.0483204396,"experiment","1"
"184","CTEEG017",-29639.1709361191,-35826.3233201933,-39128.3202957469,-42282.8859490016,"experiment","1"
"185","CTEEG018",-8106.52488301128,-10094.1495579689,-11126.4520995966,-11732.264108745,"experiment","1"
"186","CTEEG019",-10024.3717696162,-12057.8610953352,-13436.9328653522,-14469.6335371002,"experiment","1"
"187","CTEEG021",-33197.7927454743,-38132.4909357232,-42738.3220270455,-45827.378219466,"experiment","1"
"188","CTEEG022",-5209.35556002033,-6697.58166785878,-7748.691745005,-8253.44585767707,"experiment","1"
"189","CTEEG023",-11340.539715382,-14050.0449134797,-16307.8859847168,-17542.960025576,"experiment","1"
"190","CTEEG024",-39576.9114159465,-45557.4489299219,-49533.8724794463,-53198.2038469108,"experiment","1"
"191","CTEEG049",-18013.9205397504,-21684.3321697034,-24340.4932953197,-26519.8230943766,"experiment","1"
"192","CTEEG057",-11915.1084796714,-13897.4819722022,-15724.2978836524,-16804.4212089587,"experiment","1"
"193","CTEEG058",-23271.9252710589,-28859.0483025226,-32682.0651391043,-36010.3447139876,"experiment","1"
"194","CTEEG060",-5208.76684790266,-6093.30765962595,-6854.34279070917,-7211.09915814645,"experiment","1"
"195","CTEEG002",-2849.58646746034,-3572.45110826754,-4914.36693687922,-5699.78751275585,"experiment","1"
"196","CTEEG003",-3634.49304895017,-6590.322624167,-8398.7880162187,-10098.7139195623,"experiment","1"
"197","CTEEG004",-5903.20299747704,-10913.7852741874,-15440.8253733204,-18397.9740269589,"experiment","1"
"198","CTEEG005",-6907.15000754375,-8973.05561346243,-10584.7763926981,-11706.3393577511,"experiment","1"
"199","CTEEG006",-4304.93097785752,-5427.20614083904,-6229.83908503923,-6765.73321964548,"experiment","1"
"200","CTEEG008",-4363.15060621906,-5565.2333188159,-6292.17440051319,-7231.71260329684,"experiment","1"
"201","CTEEG009",-1337.82258846019,-1859.33662479111,-2155.90689655161,-2296.46228513672,"experiment","1"
"202","CTEEG011",-18333.826816778,-22633.2273924728,-24862.7607108338,-27235.8731141382,"experiment","1"
"203","CTEEG012",-14618.6630324804,-21769.5689352028,-25697.7451586,-28677.8879352213,"experiment","1"
"204","CTEEG013",-8146.26950792746,-11093.7778551452,-13168.3075612471,-14774.9341631307,"experiment","1"
"205","CTEEG015",-14151.5980727785,-20571.1792201521,-25259.3749196727,-27820.7703086727,"experiment","1"
"206","CTEEG017",-17595.0897466884,-23782.2421307627,-27084.2393545586,-30238.8050388959,"experiment","1"
"207","CTEEG018",-4640.28658077076,-6627.91128495905,-7660.21383990642,-8266.02580650446,"experiment","1"
"208","CTEEG019",-5945.43040400492,-7978.91977129581,-9357.99149974091,-10390.6921714889,"experiment","1"
"209","CTEEG021",-21418.5372625894,-26353.2359326791,-30959.0664583556,-34048.1226507761,"experiment","1"
"210","CTEEG022",-2253.96432448924,-3742.19044608887,-4793.30053406621,-5298.05464598054,"experiment","1"
